[0, 0;
 0.0099999998, 0;
 0.75995082, 0.0085914284;
 1.5097864, 0.024293726;
 2.2597535, 0.03132125;
 3.2790725, -0.17857215;
 3.5793231, -0.17857215;
 3.6794066, -0.17857215;
 3.7794905, -0.17857215;
 3.8795738, -0.17857215;
 3.9796572, -0.17857215;
 4.1798244, -0.17857215;
 4.3799915, -0.17857215;
 4.4800754, -0.17857215;
 4.6802421, -0.17857215;
 4.7803259, -0.17857215;
 4.8804088, -0.17857215;
 5.0805759, -0.17857215;
 5.2807436, -0.17857215;
 5.4809103, -0.17857215;
 5.5809937, -0.17857215;
 5.681077, -0.17857215;
 5.7811608, -0.17857215;
 6.0814109, -0.17857215;
 6.3816619, -0.17857215;
 6.5818291, -0.17857215;
 6.982163, -0.17857215;
 7.0822463, -0.17857215;
 7.1823301, -0.17857215;
 7.282414, -0.17857215;
 7.3824973, -0.17857215;
 7.4825807, -0.17857215;
 7.582664, -0.17857215;
 7.7828312, -0.17857215;
 8.1831646, -0.17856942;
 8.4834156, -0.17857215;
 8.5834999, -0.17857215;
 8.6835833, -0.17857215;
 8.88375, -0.17857215;
 9.0839167, -0.17857215;
 9.184, -0.17857215;
 9.2840834, -0.17857215;
 9.5843344, -0.17857215;
 9.784502, -0.17857215;
 10.184836, -0.17857215;
 10.385003, -0.17857215;
 10.58517, -0.17857215;
 10.88542, -0.17857215;
 11.085587, -0.17857215;
 11.285755, -0.17857215;
 11.485922, -0.17857215;
 11.586004, -0.17857215;
 11.686089, -0.17857215;
 11.886255, -0.17856942;
 12.186505, -0.17857215;
 12.386672, -0.17857215;
 12.486756, -0.17857215;
 12.586841, -0.17857215;
 12.686925, -0.17857215;
 13.287425, -0.17857215;
 13.387508, -0.17857215;
 13.487593, -0.17857215;
 14.088093, -0.17857215;
 14.388344, -0.17857215;
 14.588511, -0.17857215;
 14.850091, -0.1877356;
 15.500934, 0.4583298;
 16.250879, 0.46728548;
 17.000824, 0.47641686;
 17.750706, 0.48968551;
 18.499783, 0.45248416;
 19.249489, 0.47347084;
 19.999182, 0.49494469]
