[0, 0;
 0.0099999998, 0;
 0.75657988, -0.071543522;
 1.5032668, -0.14196144;
 1.8289362, -0.17857215;
 2.2498546, -0.21342225;
 2.9965777, -0.28345478;
 3.746033, -0.31203663;
 4.4925451, -0.38428298;
 5.2417698, -0.41837823;
 5.9916425, -0.40456063;
 6.7381978, -0.47636127;
 7.4881163, -0.48742908;
 7.9017868, -0.50893039;
 8.0993166, -0.53571498;
 8.2340746, -0.5651871;
 8.9805479, -0.63783038;
 9.7303572, -0.65474409;
 10.412173, -0.96719611;
 11.158607, -1.0402457;
 11.890714, -1.2030971;
 12.637349, -1.2740616;
 13.383466, -1.3502841;
 14.130218, -1.420014;
 14.880215, -1.417814;
 15.630212, -1.4157063;
 16.376772, -1.487452;
 17.123362, -1.5588996;
 17.871925, -1.6052921]
