[0, 0;
 0.0099999998, 0;
 0.75935882, 0.031005275;
 1.5086145, 0.064408824;
 2.2585659, 0.055862695;
 3.0085542, 0.05165631;
 3.2369213, 0.046756577;
 3.7585273, 0.04529037;
 4.5082388, 0.024496462;
 5.2571526, 0.064846516;
 6.0070772, 0.054227762;
 6.7570171, 0.044751696;
 7.5068588, 0.02935103;
 8.2564907, 0.052844472;
 9.0061312, 0.076054648;
 9.7561111, 0.070539773;
 10.506044, 0.060536452;
 11.256021, 0.054662272;
 12.005999, 0.04882713;
 12.75592, 0.037982903;
 13.436548, 0.019198112;
 13.505873, 0.029522542;
 14.255489, 0.053501058;
 15.001733, 0.12847434;
 15.092236, 0.12577258;
 15.751471, 0.10862374;
 16.501177, 0.087629557;
 17.251137, 0.079871111;
 18.000372, 0.11374535;
 18.749529, 0.07817775;
 19.499453, 0.067530058;
 20.249426, 0.06110676;
 20.997963, 0.014285866;
 21.747919, 0.00623524;
 22.497915, 0.0039270343;
 23.247784, -0.010159382;
 23.997766, -0.015255252;
 24.74773, -0.022662561;
 25.497385, 9.7550452e-05;
 26.101765, 0.025097268;
 26.247177, 0.017770365;
 26.997047, 0.0037780888;
 27.746967, -0.0072418153;
 28.163809, 0.0050210613;
 28.496809, -0.02263324;
 29.24678, -0.02925938;
 29.996729, -0.03800543;
 30.746706, -0.043882728;
 31.484221, 0.092398882;
 32.232288, 0.14621636;
 32.474014, 0.17272334;
 32.982132, 0.13094358;
 33.729012, 0.062599808;
 34.479008, 0.06449949;
 35.223446, -0.026667558;
 35.97324, -0.044235237;
 36.723156, -0.055354267;
 37.469528, 0.018324375;
 38.199524, 0.19039518;
 38.94915, 0.1667265;
 39.69862, 0.13855028;
 40.448196, 0.11331797;
 41.197838, 0.09014143;
 41.946526, 0.045786828;
 42.668297, 0.24961546;
 43.418102, 0.23252158;
 43.57093, 0.24254592;
 44.168098, 0.23502131;
 44.916393, 0.28557318;
 45.666348, 0.27722076;
 46.416286, 0.26769266;
 46.755665, 0.28776371;
 47.165241, 0.30728325;
 47.384155, 0.32580441;
 47.913925, 0.35169566;
 48.658607, 0.44083768;
 49.405476, 0.50929976]
