[0, 0;
 0.0099999998, 0;
 0.75963676, 0.023339182;
 1.5095156, 0.036818504;
 2.2591422, 0.06048511;
 3.0087619, 0.084366642;
 3.7585719, 0.10125002;
 3.9918263, 0.11951375;
 4.2899117, 0.15677245;
 4.689095, 0.17857072;
 4.989501, 0.17857072;
 5.0896354, 0.17857072;
 5.3900409, 0.17857072;
 5.5903111, 0.17857072;
 5.6904459, 0.17857072;
 5.8907156, 0.17857072;
 6.1911211, 0.17857072;
 6.291256, 0.17857072;
 6.4915261, 0.17857072;
 6.5916615, 0.17857072;
 7.0923371, 0.17857072;
 7.2926073, 0.17857072;
 7.6931472, 0.17857072;
 7.9935527, 0.17857072;
 8.093688, 0.17857072;
 8.3940926, 0.17857072;
 8.5943632, 0.17857072;
 9.1951733, 0.17857072;
 9.2953081, 0.17857072;
 9.3954439, 0.17857072;
 9.5957136, 0.17857072;
 9.8961191, 0.17857072;
 10.09639, 0.17857072;
 10.396794, 0.17857072;
 10.6972, 0.17857072;
 10.797335, 0.17857072;
 11.256439, 0.23319262;
 12.006058, 0.25710744;
 12.755611, 0.28299013;
 13.504958, 0.31428164;
 14.254533, 0.33954656;
 15.003885, 0.37070727;
 15.753569, 0.39249796;
 16.296356, 0.39912835;
 16.816444, 0.3960793;
 17.252869, 0.43799418;
 18.000566, 0.49671489;
 18.743986, 0.59584403;
 19.373587, 0.53571355;
 19.673992, 0.53571355;
 19.774128, 0.53571355;
 19.874262, 0.53571355;
 20.241346, 0.59228903;
 20.991091, 0.61186528;
 21.740488, 0.64190567;
 22.490133, 0.66499156;
 23.239788, 0.68774283;
 23.988089, 0.63727498;
 24.573256, 0.68171841;
 24.737677, 0.66211849;
 25.48711, 0.69125539;
 26.236567, 0.71978575;
 26.986155, 0.74465883;
 27.735468, 0.77672297;
 28.485212, 0.79633391;
 29.234406, 0.83110029;
 29.663359, 0.89285648;
 29.978151, 0.92775762;
 30.727816, 0.95022154;
 31.477192, 0.98078424;
 32.226864, 1.0029614;
 32.976246, 1.0334023;
 33.726238, 1.0363673;
 34.475986, 1.0557939;
 35.22525, 1.0890058;
 35.460903, 1.1124495]
