[0, 0;
 0.0099999998, 0;
 0.75341779, 0.099146053;
 1.6763273, -0.20150937;
 2.2028196, -0.25512767;
 2.2963884, -0.21977906;
 2.6706636, -0.078384571;
 2.7642322, -0.043038677;
 2.9513698, 0.027658565;
 3.136127, 0.10414869;
 3.3189313, 0.1853963;
 3.5017359, 0.26664117;
 3.6845398, 0.3478888;
 3.9587464, 0.46975747;
 4.2329531, 0.59162885;
 4.3243551, 0.63225269;
 4.4157577, 0.67287374;
 4.6899638, 0.79474241;
 4.9641705, 0.91661656;
 5.055573, 0.95723766;
 5.2383766, 1.0384853;
 5.4211817, 1.1197329;
 5.5125837, 1.1603539;
 5.6953878, 1.2415988;
 5.9118438, 1.4475571;
 6.0532975, 1.5890114;
 6.1947513, 1.7304659;
 6.619113, 2.1548238;
 6.9020205, 2.4377353;
 6.9727478, 2.5084598;
 7.114202, 2.6499169;
 7.1849289, 2.7206414;
 7.3745298, 2.9500682;
 7.4241552, 3.0369124;
 7.523406, 3.2106011;
 7.5730314, 3.2974455;
 7.6226563, 3.3842897;
 7.7715325, 3.6448228;
 7.9204082, 3.9053557;
 7.9700341, 3.9921999;
 8.019659, 4.0790443;
 8.1107054, 4.2571254;
 8.1554375, 4.3465881;
 8.3790951, 4.7939048;
 8.4238272, 4.8833675;
 8.5132904, 5.0622935;
 8.6474857, 5.3306847;
 8.6922169, 5.4201474;
 8.736949, 5.5096102;
 8.8264122, 5.6885357;
 8.8711443, 5.7780013;
 8.9158745, 5.8674645;
 9.0053387, 6.0463901;
 9.1641111, 6.4127669;
 9.2301979, 6.601584;
 9.2632399, 6.6959891;
 9.2962828, 6.7903976;
 9.3293247, 6.8848033;
 9.3623686, 6.9792113;
 9.4284534, 7.1680284;
 9.5275812, 7.4512515;
 9.5606232, 7.5456586;
 9.6254492, 7.7348976;
 9.6563644, 7.8300223;
 9.7181969, 8.0202751;
 9.7491131, 8.1153984;
 9.8109436, 8.3056498;
 9.8418598, 8.4007759;
 9.872776, 8.4959002;
 9.4540558, 8.057539;
 9.6583033, 8.6712685;
 9.6748018, 8.7743168;
 9.8955479, 9.4910955;
 10.248055, 10.153091;
 10.555098, 10.587899;
 10.659577, 10.869192;
 10.694405, 10.962955;
 10.729231, 11.05672;
 10.798884, 11.244247;
 10.868537, 11.431775;
 10.903364, 11.52554;
 10.973017, 11.713068;
 11.007845, 11.806832;
 11.147151, 12.18189;
 11.181977, 12.275652;
 11.216805, 12.369417;
 11.286458, 12.556945;
 11.390937, 12.838238;
 11.488581, 13.121761;
 11.51576, 13.218019;
 11.542939, 13.31428;
 11.624476, 13.603058;
 11.678835, 13.795577;
 11.733194, 13.988096;
 11.787551, 14.180614;
 11.84191, 14.373133;
 11.86909, 14.469395;
 11.923447, 14.661911;
 12.004985, 14.950692;
 12.059342, 15.143209;
 12.032165, 15.04695;
 12.16806, 15.528248;
 12.249599, 15.817026;
 12.276776, 15.913286;
 12.303956, 16.009544;
 12.331934, 16.105568;
 12.36135, 16.201168;
 12.42018, 16.39237;
 12.449595, 16.487968;
 12.47901, 16.583569;
 12.567256, 16.870369;
 12.596673, 16.965967;
 12.626087, 17.061569;
 12.655502, 17.157167;
 12.684917, 17.252769;
 12.714334, 17.348368;
 12.831995, 17.730766;
 12.86141, 17.826366;
 12.920241, 18.017569;
 12.979072, 18.208767;
 13.008487, 18.304365;
 13.03772, 18.400021;
 13.06469, 18.49634;
 13.091659, 18.592657;
 13.118629, 18.688976;
 13.172566, 18.881613;
 13.199536, 18.977932;
 13.226505, 19.074249;
 13.280444, 19.266886;
 13.307414, 19.363207;
 13.334382, 19.459526;
 13.361351, 19.555843;
 13.469229, 19.94112;
 13.496198, 20.037436;
 13.555577, 20.228228;
 13.592726, 20.321098;
 13.667021, 20.506836;
 13.741317, 20.692574;
 13.815613, 20.878313;
 13.852758, 20.97118;
 13.927054, 21.156918;
 14.001349, 21.342659;
 14.075644, 21.528397;
 14.136835, 21.718487;
 14.188378, 21.911776;
 14.265696, 22.201714;
 14.291468, 22.298361;
 14.317239, 22.395006;
 14.343013, 22.491652;
 14.394556, 22.684942;
 14.471873, 22.97488;
 14.497645, 23.071524;
 14.574962, 23.361462;
 14.600734, 23.458109;
 14.626505, 23.554752;
 14.652277, 23.6514;
 14.678051, 23.748047;
 14.704995, 23.84437;
 14.731965, 23.940689;
 14.758933, 24.037006;
 14.86681, 24.422283;
 14.920749, 24.61492;
 14.947719, 24.711239;
 15.055595, 25.096512;
 15.136504, 25.385469]
