[0, 0;
 0.52741611, 0.36742547;
 1.2694933, 0.80304599;
 1.8631774, 1.2613463;
 2.4793074, 1.6889956;
 3.0652924, 2.1571;
 3.6738253, 2.5954921;
 4.3338284, 2.9517162;
 4.9412951, 3.3915849;
 5.5260425, 3.8612344;
 6.1284099, 4.3080606;
 6.747541, 4.7313533;
 7.3480053, 5.1807337;
 8.0049925, 5.5424905;
 8.6295767, 5.9576941;
 9.0913506, 6.244381;
 9.2486029, 6.3811407;
 9.8647995, 6.8086939;
 10.486586, 7.2280769;
 11.101516, 7.6574502;
 11.688684, 8.1240683;
 12.303226, 8.5539961;
 12.911907, 8.9921827;
 13.489507, 9.4705954;
 14.080511, 9.9323463;
 14.673812, 10.391143;
 15.255664, 10.864375;
 15.979586, 11.060431;
 16.375843, 11.264802;
 16.589909, 11.496325;
 17.160879, 11.982631;
 17.580982, 12.281289;
 17.73893, 12.460498;
 18.316626, 12.938795;
 18.905195, 13.403646;
 19.489208, 13.874208;
 19.931007, 14.309935;
 20.201586, 14.440859;
 20.65255, 14.659068;
 20.89749, 14.82606;
 20.96834, 14.896909;
 21.251736, 15.180308;
 21.322588, 15.25116;
 21.393436, 15.322008;
 21.747688, 15.676257;
 22.101936, 16.030506;
 22.172785, 16.101357;
 22.243637, 16.172205;
 22.314486, 16.243055;
 22.467833, 16.372002;
 22.544804, 16.436148;
 22.621777, 16.50029;
 22.698751, 16.564434;
 22.775726, 16.628578;
 22.929672, 16.756868;
 23.160591, 16.949303;
 23.314537, 17.077591;
 23.468485, 17.205879;
 23.545456, 17.270023;
 23.776377, 17.462458;
 23.930325, 17.590746;
 24.161243, 17.783178;
 24.238216, 17.847322;
 24.315189, 17.911467;
 24.578936, 17.952156;
 24.893848, 18.465277;
 25.035547, 18.606977;
 25.17725, 18.748678;
 25.248098, 18.819527;
 25.390806, 18.960192;
 25.53686, 19.097397;
 25.755943, 19.303204;
 25.902002, 19.440409;
 26.121086, 19.646215;
 26.34017, 19.852022;
 26.632282, 20.126429;
 26.778341, 20.263636;
 26.924398, 20.400841;
 26.997425, 20.46944;
 27.070452, 20.538042;
 27.216509, 20.675247;
 27.439796, 20.876394;
 27.591234, 21.007639;
 27.74267, 21.138884;
 27.969824, 21.335749;
 28.121256, 21.466993;
 28.27269, 21.598236;
 28.348412, 21.663858;
 28.424128, 21.729481;
 28.499844, 21.795103;
 28.651281, 21.926346;
 28.802715, 22.05759;
 28.878431, 22.123213;
 28.954149, 22.188835;
 29.105585, 22.320078;
 29.318233, 22.53252;
 29.389086, 22.603371;
 29.530783, 22.74507;
 29.672485, 22.886768;
 29.885035, 23.099318;
 29.955883, 23.170168;
 30.029259, 23.238224;
 30.417002, 23.555466;
 30.649643, 23.745811;
 30.882286, 23.936155;
 31.037384, 24.063053;
 31.114927, 24.126501;
 31.19248, 24.189951;
 31.50267, 24.443743;
 31.657768, 24.570641;
 32.067192, 24.842009;
 32.16544, 24.86166;
 32.460194, 24.92061;
 32.754948, 24.979561;
 32.853199, 24.99921;
 33.344452, 25.097462;
 33.835705, 25.195713;
 34.032207, 25.235014;
 34.130459, 25.254663;
 34.228714, 25.274313;
 34.818218, 25.392216;
 35.115013, 25.439831;
 35.411823, 25.48732;
 35.807579, 25.55064;
 36.104393, 25.598131]
