[0, 0;
 0.0099999998, 0;
 0.73047274, -0.20837232;
 1.4220788, -0.49851188;
 1.982013, -0.5866276;
 2.0810275, -0.57177478;
 2.4787092, -0.54176402;
 2.5787568, -0.54561144;
 2.6788051, -0.54946154;
 2.8789008, -0.55715632;
 2.9789486, -0.56100374;
 3.0789969, -0.56485385;
 3.5989661, -0.78271013;
 4.5327606, -0.58516908;
 4.5797157, -0.62257022;
 4.8293543, -0.77153414;
 5.1442647, -1.0189636;
 5.3017201, -1.1426769;
 5.4591761, -1.2663931;
 5.5379033, -1.3282511;
 5.774086, -1.5138252;
 5.9344196, -1.6334651;
 6.2727594, -1.8477474;
 6.3573437, -1.9013168;
 6.695683, -2.1155992;
 6.7802682, -2.1691685;
 6.9494386, -2.2763124;
 7.0340233, -2.3298817;
 7.1186075, -2.3834536;
 7.2031927, -2.4370229;
 7.3723626, -2.5441642;
 7.6261177, -2.7048774;
 7.7107015, -2.7584465;
 8.1396933, -3.0154781;
 8.3193464, -3.1039219;
 8.6786528, -3.2808094;
 9.091712, -3.377095;
 9.6613007, -3.4227862;
 10.115876, -3.9883649;
 10.276305, -4.3693538;
 10.998037, -4.5733204;
 11.695236, -4.8497505;
 12.418195, -5.0493274;
 13.101877, -5.3576741;
 13.827259, -5.5482535;
 14.543641, -5.7702818;
 14.737256, -5.8044906]
