[0, 0;
 0.0099999998, 0;
 0.75868547, -0.044385362;
 1.5086024, -0.055550151;
 2.2585919, -0.059528183;
 3.0084558, -0.073818371;
 3.7584262, -0.080481082;
 4.2971396, -0.17857215;
 4.3971643, -0.17857215;
 4.7972655, -0.17857215;
 5.2583222, -0.095458589;
 6.0082512, -0.10577702;
 6.7582345, -0.1107894;
 7.5081458, -0.122311;
 7.8980455, -0.17857215;
 7.9980707, -0.17857215;
 8.0980959, -0.17857215;
 8.4981966, -0.17857215;
 8.5982227, -0.17857215;
 8.8982973, -0.17857215;
 9.4984484, -0.17857215;
 9.9985752, -0.17857215;
 10.501111, -0.24292409;
 11.074559, -0.3018986;
 11.248798, -0.30177203;
 11.998768, -0.29500484;
 12.507157, -0.27230471;
 12.748692, -0.30572289;
 13.227605, -0.30854163;
 13.498584, -0.31841564;
 14.248415, -0.33431751;
 14.998386, -0.34084719;
 15.276651, -0.36978659;
 15.748315, -0.3511804;
 16.49824, -0.36181107;
 17.248096, -0.37641913;
 17.99786, -0.39522579;
 18.744682, -0.4641985;
 19.494678, -0.46668905;
 19.934027, -0.46527392;
 20.244635, -0.47479039;
 20.817799, -0.49392229;
 20.99457, -0.48470235;
 21.744459, -0.49753153;
 22.494455, -0.49528664;
 23.234676, -0.61600775;
 23.983393, -0.57215846;
 24.733292, -0.58448291;
 25.134663, -0.63221323;
 25.482597, -0.61675853;
 26.227579, -0.70337492;
 26.977577, -0.70185542;
 27.727543, -0.70910025;
 28.477459, -0.6978457;
 29.227438, -0.70345312;
 29.977432, -0.70052558;
 30.437353, -0.70127016;
 30.727392, -0.69275427;
 31.475519, -0.74571538;
 32.225361, -0.73028904;
 32.973354, -0.67545319;
 33.723267, -0.68683487;
 34.473255, -0.68265951;
 35.132172, -0.6883356;
 35.223221, -0.68996197;
 35.973167, -0.68095261;
 36.717796, -0.59134269;
 37.180042, -0.53571498;
 37.591209, -0.58396548;
 37.980247, -0.53571498;
 38.280323, -0.53571498;
 38.480373, -0.53571498;
 38.880474, -0.53571498;
 38.965385, -0.5608688;
 39.695866, -0.73086894;
 40.445763, -0.74329329;
 41.195705, -0.75270784;
 41.945698, -0.74947125;
 42.695595, -0.76198959;
 43.445534, -0.75243694;
 44.162483, -0.97262865;
 44.906734, -1.0653025;
 45.656719, -1.0703723;
 46.406685, -1.0776266;
 47.15667, -1.082672;
 47.900059, -0.98332208;
 48.64201, -1.0929163;
 49.391861, -1.0779438;
 50.140305, -1.0296406;
 50.890186, -1.0163555;
 51.640072, -1.0032585;
 51.981873, -1.0543286;
 52.386818, -1.0730494;
 53.13678, -1.0804873;
 53.886745, -1.0874753;
 54.635998, -1.0540181;
 55.385521, -1.0273261;
 56.135433, -1.0388876;
 56.885212, -1.0570983;
 57.63343, -1.1087335;
 58.383381, -1.1172805;
 58.639431, -1.1190095;
 59.131794, -1.068496;
 59.881706, -1.0800337;
 60.631264, -1.1057929;
 61.381096, -1.1217018;
 62.445671, -1.0605628;
 63.58987, -0.99805516;
 64.338341, -1.0459368;
 65.087196, -1.0873501;
 65.836754, -1.1130736;
 66.427917, -1.2500007;
 66.527946, -1.2500007;
 66.828018, -1.2500007;
 67.329025, -1.0646342;
 68.078926, -1.076606;
 68.82872, -1.0941863;
 69.578491, -1.0757346;
 70.327248, -1.1189444]
