[0, 0;
 0.0099999998, 0;
 0.59545702, 0.10475633;
 1.7319556, 0.46820706;
 2.2028706, 1.0451678;
 2.8829012, 0.72884774;
 3.626477, 0.82680225;
 4.6720304, 1.3916042;
 4.981945, 2.0745778;
 5.070354, 2.2421749;
 5.3224497, 2.7428267;
 5.6411605, 3.4217401;
 6.1381636, 3.9834232;
 6.6842747, 4.8649864;
 7.0033646, 5.1432433;
 7.2984066, 5.8327723;
 7.6099563, 6.5150018;
 7.8797183, 7.214808;
 8.0876226, 7.9354157;
 8.5437641, 8.5307608;
 8.8714542, 9.2053862;
 9.1421318, 9.9048386;
 9.4436893, 10.591543;
 9.8282328, 11.235458;
 10.289301, 12.002136;
 10.632814, 12.460332;
 11.147543, 13.005817;
 11.598775, 13.484013;
 11.627559, 13.579957;
 11.713908, 13.867792;
 11.742692, 13.963736;
 11.771475, 14.059679;
 11.857824, 14.347512;
 11.886608, 14.443456;
 11.944175, 14.635345;
 12.00174, 14.827232;
 12.030524, 14.923177;
 12.17444, 15.402897;
 12.260792, 15.690731;
 12.289575, 15.786674;
 12.382936, 16.072256;
 12.480398, 16.356516;
 12.675321, 16.925041;
 12.740296, 17.11455;
 12.870244, 17.493567;
 12.90273, 17.58832;
 12.935218, 17.683073;
 13.032681, 17.967339;
 13.13014, 18.2516;
 13.162629, 18.346354;
 13.194338, 18.441368;
 13.28722, 18.727158;
 13.349141, 18.917686;
 13.411063, 19.108212;
 13.442025, 19.203478;
 13.503945, 19.394007;
 13.565867, 19.584534;
 13.596827, 19.679798;
 13.65875, 19.870325;
 13.689709, 19.965588;
 13.751631, 20.156116;
 13.813553, 20.346643;
 13.906436, 20.632437;
 13.937396, 20.727701;
 13.968356, 20.822964;
 14.010399, 20.951967;
 14.030278, 21.013491;
 14.092199, 21.204018;
 14.152714, 21.394995;
 14.182746, 21.490557;
 14.21278, 21.586115;
 14.242813, 21.681677;
 14.272845, 21.777235;
 14.302878, 21.872797;
 14.332913, 21.968355;
 14.362947, 22.063919;
 14.39298, 22.159479;
 14.423014, 22.255039;
 14.453047, 22.350599;
 14.513111, 22.541719;
 14.543145, 22.63728;
 14.603212, 22.8284;
 14.663279, 23.01952;
 14.723345, 23.21064;
 14.753378, 23.3062;
 14.843478, 23.592882;
 14.904009, 23.783854;
 14.96669, 23.974133;
 14.998031, 24.069271;
 15.029369, 24.164412;
 15.06071, 24.25955;
 15.123389, 24.449829;
 15.217411, 24.735249;
 15.280092, 24.925529;
 15.311432, 25.02067;
 15.34277, 25.115808;
 15.37411, 25.210949]
