[0, 0;
 0.0099999998, 0;
 0.75950992, 0.027107839;
 1.5091588, 0.050052248;
 2.2585683, 0.079811275;
 3.0075324, 0.11921635;
 3.7574472, 0.13051695;
 4.0894837, 0.13172078;
 4.1887774, 0.14412946;
 4.2880712, 0.15654629;
 4.5067205, 0.16351932;
 4.8870978, 0.17857072;
 5.0872307, 0.17857072;
 5.1872969, 0.17857072;
 5.3874302, 0.17857072;
 5.5875621, 0.17857072;
 5.6876287, 0.17857072;
 6.1879611, 0.17857072;
 6.7549639, 0.25235283;
 7.5043411, 0.28290671;
 8.2534361, 0.31974581;
 9.0027199, 0.35252613]
