[0, 0;
 0.0099999998, 0;
 0.75995916, 0.0078264084;
 1.3598251, -0.034926996;
 1.5098486, -0.005055774;
 2.2598364, -0.0093214642;
 3.0098219, -0.01399852;
 3.759491, 0.0082804598;
 4.5093927, 0.020412542;
 5.2593813, 0.016245171;
 6.0093746, 0.013059429;
 6.5024886, -0.01764914;
 6.7593651, 0.0092883818;
 7.5093603, 0.0065719122;
 8.2591705, -0.010317392;
 9.0087862, -0.034332614;
 9.3617153, -0.072553538;
 9.7587824, -0.036853384;
 10.507014, 0.014612328;
 11.257001, 0.010196963;
 12.00633, -0.021526149;
 12.756322, -0.018118585;
 13.506317, -0.015353428;
 14.255996, 0.0065975431;
 15.005981, 0.001947511;
 15.755828, -0.013247041;
 16.501196, -0.096480846;
 17.251196, -0.097578146;
 18.001186, -0.093903117;
 18.515509, -0.087403603;
 18.751158, -0.087378748;
 19.501146, -0.091583177;
 20.251116, -0.098368205;
 21.000067, -0.058709458;
 21.749605, -0.084992215;
 22.499201, -0.1096149;
 23.014269, -0.17857215;
 23.1143, -0.17857215]
