[0, 0;
 0.0099999998, 0;
 0.7599839, 0.0049134712;
 1.3938525, -0.025842564;
 1.5099837, 0.0054670833;
 1.8937967, 0.0049147946;
 2.2599657, 0.00026588421;
 3.0099514, -0.0043770918;
 3.7598844, -0.014398703;
 4.5097675, -0.0011591986;
 4.9843121, 0.045383286;
 5.2597589, -0.004732192;
 6.0097132, -0.013007171;
 6.5355477, 0.027590446;
 6.7596879, -0.0068647284;
 7.509655, 0.00016328786;
 7.983633, -0.0058399271;
 8.2596445, -0.0037848377;
 9.0096378, -0.00072984979;
 9.7596216, -0.0057180133;
 10.509604, -0.000678082;
 11.259597, 0.0027067044;
 12.009588, 0.0062947627;
 12.759363, 0.02466703;
 13.50928, 0.013532029;
 14.259275, 0.016311975;
 14.889288, -0.0035020625;
 15.009252, 0.010319402;
 15.759023, -0.0082248673;
 16.509012, -0.0043081371;
 17.258894, -0.017591022;
 17.711781, -0.049223933;
 18.008879, -0.022308823;
 18.758831, -0.013819679;
 19.208458, -0.047324762;
 19.508764, -0.023873616;
 20.257372, 0.021820046;
 21.006378, -0.016772352;
 21.429943, -0.066812411;
 21.756365, -0.01242213;
 22.085024, 0.0017022747;
 22.506338, -0.018749554;
 22.930717, -0.047649011;
 23.256317, -0.0131695;
 24.006306, -0.0088604018;
 24.211552, -0.012888943;
 24.36676, -0.027758088;
 25.064625, -0.058967762;
 25.506086, -0.021545896;
 26.256056, -0.014851987;
 27.005983, -0.0044117002;
 27.755932, 0.004393898;
 28.505337, -0.025464717;
 29.255289, -0.033880085]
