[0, 0;
 0.0099999998, 0;
 0.75967854, 0.021956407;
 1.5090984, -0.0075374134;
 2.2587366, -0.030830506;
 2.7940481, -0.061687097;
 3.0082891, -0.056733396;
 3.7576475, -0.087751165;
 4.1965928, -0.17857215;
 4.5966401, -0.17857215;
 4.9966874, -0.17857215;
 5.0966992, -0.17857215;
 5.4967465, -0.17857215;
 5.796782, -0.17857215;
 6.0968175, -0.17857215;
 6.1968303, -0.17857215;
 6.9390497, -0.1845258;
 7.50387, -0.2358565;
 8.2536049, -0.25579193;
 9.0034533, -0.27088669;
 9.7530499, -0.29549077;
 10.502379, -0.32718801;
 11.084857, -0.32325545;
 11.252151, -0.34566754;
 11.762128, -0.53571498;
 12.511917, -0.55347741;
 13.261253, -0.58501935;
 14.010979, -0.60529882;
 14.760773, -0.62286907;
 15.510531, -0.64187503;
 16.260427, -0.65431029;
 16.559843, -0.67090243;
 17.010281, -0.66911161;
 17.760075, -0.68667352;
 18.509716, -0.70987636;
 19.259514, -0.72730953;
 20.009235, -0.74777633;
 20.759012, -0.76609164;
 21.508747, -0.78605807;
 22.257801, -0.82373095;
 23.007347, -0.84981763;
 23.629786, -0.83389902;
 23.757103, -0.86894763;
 24.507097, -0.87194204;
 25.254688, -0.93199813;
 26.004677, -0.92785865;
 26.754255, -0.95300704;
 27.504141, -0.96606684;
 28.253958, -0.98263186;
 29.003511, -1.0085082;
 29.753363, -1.0234498;
 30.503107, -1.0430428;
 31.252848, -1.0627637;
 32.002571, -1.0831443;
 32.752399, -1.0992573;
 33.502007, -1.1235868;
 34.251728, -1.1440668;
 35.001377, -1.1211319;
 35.750805, -1.1503781;
 36.426121, -1.1496089;
 36.500519, -1.1710844;
 36.723759, -1.1832381;
 36.923626, -1.1912326;
 37.423283, -1.2112162;
 37.723083, -1.2232107;
 37.823013, -1.2272079;
 38.122807, -1.2391998;
 38.32267, -1.2471915;
 38.52264, -1.2500007;
 38.62265, -1.2500007;
 38.922688, -1.2500007;
 39.499947, -1.2144418;
 40.249931, -1.2194514;
 40.622887, -1.2500007;
 40.822906, -1.2500007;
 41.222958, -1.2500007;
 41.422981, -1.2500007;
 41.522991, -1.2500007;
 42.023056, -1.2500007;
 42.498829, -1.2897141;
 43.243713, -1.377167;
 43.983994, -1.4975278;
 44.733891, -1.5099299;
 45.239555, -1.4993975;
 45.483555, -1.5323054;
 46.233524, -1.5389042;
 46.979221, -1.6191146;
 47.388329, -1.6071436;
 47.988403, -1.6071436;
 48.088413, -1.6071436;
 48.188423, -1.6071436;
 48.68848, -1.6071436;
 49.188538, -1.6071436;
 49.288555, -1.6071436;
 49.388565, -1.6071436;
 49.960918, -1.8165385;
 50.710873, -1.8246924;
 51.460281, -1.7949337;
 52.208599, -1.845165;
 52.958584, -1.8497705;
 53.706913, -1.7997364;
 54.456879, -1.8070387;
 55.206799, -1.8179646;
 55.956726, -1.82827;
 56.706024, -1.7958429;
 57.456009, -1.7913158;
 58.205967, -1.799298;
 58.954891, -1.8394629;
 59.704704, -1.8561537;
 60.453617, -1.8964972;
 61.203606, -1.9004527;
 61.567799, -1.8865647;
 62.173763, -1.8524123;
 62.467136, -1.9143603;
 62.567112, -1.9168589;
 62.767067, -1.9218562;
 62.86705, -1.9243575;
 62.967033, -1.9268562;
 63.067017, -1.9293548;
 63.366959, -1.9368534;
 63.466934, -1.9393547;
 63.866856, -1.9493492;
 64.066826, -1.9543492;
 64.266777, -1.9593492;
 64.466721, -1.9646325;
 64.763741, -2.0070655;
 65.258766, -2.0777845;
 65.456787, -2.1060705;
 65.753799, -2.1485038;
 65.852806, -2.1626453;
 66.149826, -2.2050784;
 66.265511, -2.2206521;
 66.347839, -2.233367;
 66.446854, -2.2475114;
 66.545853, -2.2616529;
 67.541725, -2.3214293;
 67.941772, -2.3214293;
 68.34182, -2.3214293;
 68.541847, -2.3214293;
 68.938171, -2.2837973;
 69.330444, -2.2053428;
 69.42852, -2.1857269;
 69.624657, -2.1464982;
 70.016937, -2.0680435;
 70.507286, -1.9699731]
