[0, 0;
 0.0099999998, 0;
 0.75997269, -0.0063962033;
 1.0175886, -0.029161353;
 1.5099697, -0.0084977578;
 2.2579284, 0.046800092;
 3.0078087, 0.03339459;
 3.3934639, 0.044718437;
 3.4927042, 0.057121653;
 3.7577643, 0.025244277;
 4.2696114, -0.0050851619;
 4.5077596, 0.022578761;
 5.2577124, 0.030985884;
 5.3738098, 0.033045463;
 6.0077071, 0.028171675;
 6.5625634, -0.11964869;
 6.6624956, -0.12364323;
 6.8623605, -0.13164046;
 7.0622253, -0.13963498;
 7.1621585, -0.14362952;
 7.2620912, -0.1476295]
