[0, 0;
 0.0099999998, 0;
 0.75979257, -0.017635729;
 1.1386681, -0.09909565;
 1.6285845, -0.17857215;
 1.8285977, -0.17857215;
 1.9286042, -0.17857215;
 2.1286173, -0.17857215;
 2.428637, -0.17857215;
 2.5286436, -0.17857215;
 2.62865, -0.17857215;
 3.0041761, -0.13283695;
 3.754137, -0.12517756;
 4.1287484, -0.17857215;
 4.228755, -0.17857215;
 4.3287611, -0.17857215;
 4.6287808, -0.17857215;
 4.8287945, -0.17857487;
 5.0288072, -0.17857215;
 5.1288137, -0.17857215;
 5.3288269, -0.17857215;
 5.5288396, -0.17857215;
 6.0036764, -0.13891099;
 6.3288922, -0.17857215;
 6.4288983, -0.17857215;
 6.7536759, -0.13974349;
 7.0289383, -0.17857215;
 7.328958, -0.17857215;
 7.7289844, -0.17857215;
 7.8289905, -0.17857215;
 7.928997, -0.17857215;
 8.3290224, -0.17856942]
