[0, 0;
 0.0099999998, 0;
 0.75995016, 0.0086429501;
 1.5099026, 0.01709187;
 1.9418371, 0.034020934;
 2.2598758, 0.023433045;
 3.0098388, 0.03087825;
 3.4686852, 0.019274406;
 3.75983, 0.034492191;
 4.5097747, 0.043597125;
 5.0448513, 0.062456779;
 5.2597413, 0.050676066;
 6.0095062, 0.069454111;
 6.5865908, 0.069020785;
 6.7593021, 0.086957611;
 7.5092411, 0.096524879;
 8.2592144, 0.10285746;
 9.0091972, 0.10799803;
 9.7477322, -0.022636876;
 9.9156046, -0.024414778;
 10.114221, -0.00058109424;
 10.497528, -0.0051289313;
 11.247496, 0.0017994978;
 11.997478, 0.0070576789;
 12.74741, 0.017159075;
 13.497309, 0.02946632;
 14.247074, 0.048239984;
 14.997044, 0.055042069;
 15.746798, 0.074269108;
 16.496714, 0.085536174;
 17.246475, 0.10443141;
 17.996256, 0.12258136;
 18.405205, 0.17857072;
 18.505228, 0.17857072;
 18.605246, 0.17857072;
 18.705265, 0.17857072;
 19.005327, 0.17857072;
 19.20537, 0.17857072;
 19.405409, 0.17857072;
 19.605452, 0.17857072;
 20.005531, 0.17857072;
 20.305593, 0.17857072;
 20.505634, 0.17857072;
 20.705675, 0.17857072;
 21.105759, 0.17857072;
 21.205778, 0.17857072;
 21.305799, 0.17857072;
 21.505838, 0.17857072;
 21.805901, 0.17857072;
 22.105961, 0.17857072;
 22.49538, 0.1955231]
