[0, 0;
 0.0099999998, 0;
 0.75989795, 0.01236652;
 1.4130596, 0.01216272;
 1.5097712, 0.026152449;
 2.2596042, 0.041978896;
 2.7781856, -0.02591341;
 2.8777995, -0.016112361;
 3.1766415, 0.01329623;
 3.2762556, 0.023097277;
 3.3758695, 0.032898325;
 3.6747119, 0.062304191;
 3.7592678, 0.073073275;
 4.3311319, 0.076492138;
 4.5091357, 0.08715795;
 4.9720297, 0.1503583;
 5.0721035, 0.15239917;
 5.1721787, 0.15444003;
 5.3723269, 0.15852448;
 5.5724759, 0.16260621;
 5.772624, 0.16669066;
 6.0089154, 0.093903579;
 6.7587852, 0.10787021;
 7.5078497, 0.070422232;
 8.2569151, 0.10784794;
 9.0066795, 0.12664427;
 9.7566624, 0.12154172;
 10.176709, 0.17928189;
 10.677184, 0.18028188;
 10.877373, 0.18068242;
 11.077563, 0.18108296;
 11.377848, 0.18168242;
 11.578037, 0.18208297;
 11.678098, 0.18441539;
 11.778141, 0.18761428;
 11.878184, 0.1908159;
 12.078272, 0.19721913;
 12.378404, 0.20682128;
 12.478447, 0.21002562;
 12.578492, 0.21322452;
 12.678536, 0.21642613;
 12.878624, 0.22282939;
 13.078712, 0.2292299;
 13.278798, 0.23563586;
 13.973413, 0.24896279;
 14.255007, 0.23163086;
 15.005001, 0.2344885;
 15.754736, 0.25441974;
 16.071774, 0.29170373;
 16.50462, 0.26767349;
 17.146286, 0.28050759;
 17.254442, 0.28401297;
 18.004023, 0.2589018;
 18.753592, 0.28432798;
 19.503401, 0.30127606;
 20.252373, 0.26203147;
 21.002186, 0.27879307;
 21.161823, 0.27884278;
 21.752159, 0.28508222;
 22.501335, 0.32023561;
 22.858395, 0.33218858;
 23.251183, 0.3353655;
 24.001089, 0.34718016;
 24.467867, 0.33198968;
 24.750883, 0.36478183;
 25.499413, 0.41173565;
 25.787651, 0.43531075;
 26.249311, 0.42409781;
 26.998886, 0.44933754;
 27.748878, 0.44603837;
 28.498775, 0.45847791;
 28.977272, 0.53571355;
 29.077368, 0.53571355;
 29.377649, 0.53571355;
 29.577843, 0.53593975;
 29.677937, 0.5361414;
 29.878126, 0.53654194;
 30.17841, 0.53714138;
 30.378605, 0.53754193;
 30.478697, 0.53774083;
 30.578794, 0.53794247;
 30.879076, 0.53854191;
 30.979172, 0.53874356;
 31.079266, 0.53894246;
 31.179361, 0.5391441;
 31.27944, 0.54022855;
 31.579575, 0.54983068;
 31.779663, 0.55623394;
 32.247742, 0.5403018;
 32.997627, 0.55338806;
 33.747093, 0.58173656;
 34.496853, 0.60065645;
 35.246502, 0.57776004;
 35.88763, 0.62602657;
 35.994606, 0.63104779;
 36.502571, 0.64215726;
 36.744473, 0.64529115;
 37.324245, 0.65716535;
 37.494408, 0.65516669;
 38.244396, 0.65905356;
 38.994381, 0.66372311;
 39.744114, 0.68373728;
 40.493904, 0.70145226;
 41.243839, 0.71122295;
 41.993656, 0.72776014;
 42.743526, 0.74180245;
 43.493385, 0.75644261;
 44.113014, 0.7836771;
 44.630833, 0.87901455;
 44.875076, 0.89285648;
 45.075264, 0.89285648;
 45.275459, 0.89285648;
 45.575741, 0.89285648;
 45.976124, 0.89285648;
 46.376503, 0.89285648;
 46.476601, 0.89285648;
 46.676788, 0.89285648;
 46.776886, 0.89285648;
 47.077168, 0.89285648;
 47.177265, 0.89285648;
 47.277359, 0.89285648;
 47.477551, 0.89285648;
 47.777836, 0.89285648;
 47.978027, 0.89285648;
 48.078125, 0.89285648;
 48.678692, 0.89285648;
 49.130676, 0.90610904;
 49.880478, 0.92327362;
 50.630356, 0.9368856;
 51.38031, 0.94531322;
 52.130196, 0.95852005]
