[0, 0;
 0.0099999998, 0;
 0.75724572, -0.064217404;
 1.5027037, -0.14663494;
 2.0155454, -0.33157966;
 2.4017892, -0.42051661;
 2.9547718, -0.46618342;
 3.7020998, -0.52943414;
 4.4488811, -0.59884328;
 5.1963, -0.66101325;
 5.9425335, -0.73608685;
 6.6921077, -0.7108224;
 7.4407372, -0.66550416;
 8.1867418, -0.74281961;
 8.9304142, -0.84003705;
 9.6754103, -0.9265312;
 10.420916, -1.0085135;
 11.167982, -1.0747812;
 11.915063, -1.0086685;
 12.645132, -1.0290263;
 12.743304, -1.0486637;
 12.841478, -1.0682958;
 12.939651, -1.0879306;
 13.037824, -1.1075654;
 13.234169, -1.1468377;
 13.381621, -1.1789987;
 13.526959, -1.2132815;
 13.623881, -1.2383659;
 13.720804, -1.2634557;
 13.817726, -1.2885401;
 14.011574, -1.3387115;
 14.302344, -1.4139674;
 14.399269, -1.4390571;
 14.496191, -1.4641415;
 14.883883, -1.5644844;
 15.271576, -1.6648272;
 15.368499, -1.6899143;
 15.562346, -1.7400858;
 15.659268, -1.7651728;
 16.046961, -1.8655158;
 16.33773, -1.9407743;
 16.826202, -2.0499318;
 16.924074, -2.0710108;
 17.217693, -2.1342504;
 17.413439, -2.1764109;
 17.609182, -2.2185743;
 17.707056, -2.2396531;
 17.902802, -2.281811;
 18.000673, -2.3028953;
 18.490038, -2.4082928;
 18.784184, -2.4683878;
 18.883585, -2.4803169;
 19.2812, -2.5280306;
 19.480009, -2.5518889;
 19.678816, -2.5757444;
 19.877625, -2.5996025;
 20.227806, -2.6093194]
