[0, 0;
 0.57351464, 0.49492556;
 1.2099409, 0.098111391;
 1.8659766, -0.10703022;
 2.0431597, -0.013608285;
 2.2203431, 0.079816379;
 2.3089349, 0.12652734;
 2.3975263, 0.17324103;
 2.5747097, 0.26666299;
 2.7486789, 0.36564893;
 2.8333876, 0.41908193;
 2.9180963, 0.47251496;
 3.0875132, 0.57937825;
 3.2569306, 0.68623883;
 3.426348, 0.79310209;
 3.5110562, 0.84653515;
 3.5957651, 0.89996541;
 3.7651823, 1.0068287;
 3.8498907, 1.0602617;
 3.9345994, 1.113692;
 4.2734337, 1.3274186;
 4.4428511, 1.4342819;
 4.6969771, 1.5945755;
 4.8663936, 1.7014415;
 5.1877966, 1.9393669;
 5.2653103, 2.0027835;
 5.342824, 2.0662055;
 5.5753646, 2.2564664;
 5.6528783, 2.3198857;
 5.730392, 2.3833077;
 5.8854184, 2.5101464;
 6.0404468, 2.6369879;
 6.1954732, 2.7638292;
 6.4280143, 2.9540901;
 6.5055275, 3.0175095;
 6.5830407, 3.0809288;
 6.8155823, 3.2711921;
 7.0913959, 3.5580983;
 7.1794319, 3.6490231;
 7.3356509, 3.8756311;
 7.4577789, 4.0343962;
 7.5188427, 4.11378;
 7.5799074, 4.1931639;
 7.7630987, 4.4313126;
 7.8241625, 4.5106936;
 8.0073538, 4.7488451;
 8.2516098, 5.0663776;
 8.3737373, 5.225143;
 8.4348021, 5.3045268;
 8.6179934, 5.5426755;
 8.7811785, 5.7922301;
 8.9573412, 6.0587358;
 9.5170536, 6.5579576;
 10.003114, 7.1291366;
 10.407216, 7.7609606;
 10.807137, 8.3954391;
 11.248685, 9.0016861;
 11.778121, 9.5329084;
 12.289343, 10.081681;
 12.747105, 10.675781;
 13.245502, 11.236228;
 13.7283, 11.810166;
 14.22947, 12.368134;
 14.767969, 12.890167;
 15.26378, 13.452904;
 15.664321, 14.086991;
 15.739191, 15.109804;
 15.80261, 15.187318;
 16.056293, 15.497371;
 16.373394, 15.88494;
 16.500233, 16.039967;
 16.690493, 16.272509;
 16.817333, 16.427536;
 17.018736, 16.648525;
 17.178211, 16.769726;
 17.337688, 16.890928;
 17.576902, 17.072731;
 17.736376, 17.19393;
 17.895851, 17.315132;
 18.055325, 17.436333;
 18.2148, 17.557533;
 18.533749, 17.799934;
 18.613485, 17.860535;
 18.693224, 17.921135;
 18.940241, 18.092018;
 19.272837, 18.315331;
 19.355986, 18.371161;
 19.605431, 18.538645;
 20.104322, 18.873615;
 20.270618, 18.985271;
 20.520063, 19.152756;
 20.60321, 19.208584;
 20.76951, 19.320242;
 20.852659, 19.37607;
 21.185253, 19.599382;
 21.388973, 19.816576;
 21.45154, 19.894781;
 21.514105, 19.972986;
 21.701797, 20.207603;
 21.780561, 20.31349;
 22.148241, 20.747971;
 22.27943, 20.89934;
 22.410614, 21.050709;
 22.607393, 21.27776;
 22.869764, 21.580496;
 23.000952, 21.731863;
 23.263321, 22.034599;
 23.394506, 22.185966;
 23.640852, 22.50135;
 23.866274, 22.848541;
 24.049234, 23.071188;
 24.224255, 23.315405;
 24.399275, 23.559622;
 24.457617, 23.641027;
 24.515959, 23.722433;
 24.696993, 23.96221;
 24.818195, 24.121685;
 24.878794, 24.201422;
 24.999998, 24.360899;
 25.4242, 24.91906;
 25.606003, 25.158272;
 25.727201, 25.317747;
 25.848402, 25.477221;
 25.976648, 25.630932;
 26.108974, 25.781303]
