[0, 0;
 0.0099999998, 0;
 0.86063403, -0.16787192;
 1.5130002, -0.26113582;
 1.5954438, -0.29339182;
 1.8624555, -0.36198279;
 2.2613063, -0.20592353;
 2.5322213, -0.15647143;
 2.8254364, -0.096117467;
 2.9245343, -0.082103901;
 3.0236323, -0.068093061;
 3.1227303, -0.054079499;
 3.4200244, -0.012044259;
 3.5191224, 0.0019665787;
 3.6182203, 0.015980141;
 3.8164163, 0.044004545;
 4.1137104, 0.086039782;
 4.4110045, 0.12807775;
 4.6693411, -0.29634678;
 5.4185629, -0.26219201;
 5.8527207, -0.096602477;
 6.611577, 0.19200391;
 6.8116345, 0.19864421;
 7.1117206, 0.20860873;
 7.3117776, 0.21525176;
 7.7118921, 0.22853236;
 8.2106056, 0.26244229;
 8.309824, 0.27557576;
 8.6074781, 0.31498703;
 8.8059139, 0.34125939;
 8.9051313, 0.35439557;
 9.0043497, 0.36753175;
 9.4012213, 0.4200792;
 9.5996571, 0.44635156;
 9.7980919, 0.47262394;
 9.8979111, 0.47877377;
 10.197923, 0.49077374;
 10.497934, 0.50277364;
 10.697941, 0.51077366;
 10.897948, 0.51877362;
 10.997952, 0.52277356;
 11.19796, 0.53077352;
 11.397967, 0.53877354;
 11.597976, 0.54677624;
 11.797856, 0.55743831;
 11.997733, 0.56823391;
 12.197609, 0.57902676;
 12.297546, 0.58442456;
 12.397486, 0.58981687;
 12.697301, 0.60600758;
 12.797237, 0.61140537;
 12.997114, 0.62219822;
 13.097053, 0.62759602;
 13.379912, 0.58483899;
 14.129871, 0.59267884;
 14.879703, 0.60859579;
 15.626165, 0.68134815;
 16.37291, 0.75114655;
 17.117813, 0.83843571;
 17.867554, 0.85813046;
 18.238392, 0.83228451;
 18.617111, 0.88386273]
