[0, 0;
 0.0099999998, 0;
 0.75772858, -0.058326028;
 1.5047204, -0.12543184;
 1.9287767, -0.17857215;
 2.2495642, -0.21322629;
 2.7455692, -0.23621495;
 2.9979169, -0.2629078;
 3.7459559, -0.31710961;
 4.4922662, -0.39141428;
 5.2351785, -0.49428019;
 5.9830227, -0.55110812;
 6.7283268, -0.63490474;
 7.4766665, -0.68478245;
 7.6632624, -0.77202463;
 8.8107872, -1.2152047;
 9.5586262, -1.2721021;
 10.306375, -1.3301716;
 11.054343, -1.3853378;
 11.797561, -1.4859768;
 12.539429, -1.5961183;
 13.288449, -1.6344411;
 13.817847, -1.6408683;
 14.037395, -1.6742085;
 14.785908, -1.7214122;
 15.196404, -1.7323501;
 15.393034, -1.7693609;
 15.687976, -1.8248811;
 15.786291, -1.8433878;
 15.884605, -1.8618919;
 16.473946, -1.9754554;
 16.571087, -1.9993653;
 16.668228, -2.0232809;
 16.765369, -2.0471907;
 16.959652, -2.0950134;
 17.251076, -2.1667488;
 17.445358, -2.2145743;
 17.833923, -2.3102195;
 18.125347, -2.3819523;
 18.31963, -2.4297776;
 18.513912, -2.4776003;
 18.708195, -2.525423;
 19.30542, -2.5801475;
 19.704308, -2.6120603;
 20.597616, -2.7709188;
 21.095112, -2.7680759;
 21.34671, -2.8077571;
 22.095922, -2.8421052]
