[0, 0;
 0.0099999998, 0;
 0.75976801, -0.018651444;
 1.5093966, -0.042250775;
 2.258157, -0.085353285;
 3.007731, -0.11062943;
 3.7571411, -0.14036709;
 4.1076832, -0.17857215;
 4.5021534, -0.22671735;
 5.2507482, -0.27260616;
 6.0004797, -0.29267463;
 6.7502995, -0.30911794;
 7.5001254, -0.32527271;
 8.2499323, -0.34227407;
 8.5957642, -0.34714907;
 8.694622, -0.36235881;
 8.9993982, -0.37057781;
 9.7490129, -0.39461228;
 10.496399, -0.4571771;
 11.244909, -0.50442666;
 11.581992, -0.53571498;
 11.682014, -0.53571498;
 11.782036, -0.53571498;
 12.0821, -0.53571498;
 12.182121, -0.53571498;
 12.582209, -0.53571498;
 12.744346, -0.53381717;
 13.082316, -0.53571498;
 13.494346, -0.53442585;
 13.982511, -0.53571498;
 14.082532, -0.53571498;
 14.482618, -0.53571498;
 14.58264, -0.53571498;
 15.282792, -0.53571498;
 15.743256, -0.60444617;
 16.492777, -0.63122231;
 17.242603, -0.64734399;
 17.992271, -0.66964954;
 18.741634, -0.7005378;
 19.491196, -0.72618335;
 20.240864, -0.74848849;
 20.990509, -0.77153414;
 21.740326, -0.75496006;
 22.489788, -0.78334737;
 23.239626, -0.79896522;
 23.989138, -0.82603794;
 24.474504, -0.87672442;
 24.738514, -0.85660404;
 25.488512, -0.85507256;
 25.962334, -0.82420969;
 26.237867, -0.88616318;
 26.761869, -0.85619318;
 27.161636, -0.87218219;
 27.461462, -0.88417399;
 27.736195, -0.95565289;
 28.484316, -1.0087132;
 29.233681, -1.0395877;
 29.983135, -1.0681788;
 30.721806, -1.1980436;
 31.164415, -1.2222379;
 31.470987, -1.2330692;
 32.220982, -1.2357961;
 32.774807, -1.2833412;
 32.970295, -1.2678678;
 33.720055, -1.2868547;
 34.469822, -1.3054827;
 35.219479, -1.3281617;
 35.968925, -1.3569542;
 36.718727, -1.3742465;
 37.468128, -1.3443063;
 38.217373, -1.3779252;
 38.967018, -1.3548013;
 39.714725, -1.2962142;
 40.462818, -1.3496735;
 41.022804, -1.3513082;
 41.122116, -1.3632264;
 41.320732, -1.38706;
 41.717968, -1.4347274;
 41.817276, -1.4466456;
 42.315212, -1.4923594;
 42.707302, -1.4852939;
 43.457012, -1.5061895;
 44.206501, -1.5338309;
 44.611122, -1.6071436;
 44.811165, -1.6071436;
 44.951218, -1.62271;
 45.356052, -1.6570671;
 45.699989, -1.6655977;
 46.44968, -1.6871135;
 47.199642, -1.6948204;
 47.949425, -1.7128161;
 48.695908, -1.78538;
 49.445896, -1.7895017;
 50.191059, -1.8745584;
 50.485111, -1.8827337;
 50.940376, -1.9065173;
 51.690369, -1.9101706;
 52.177402, -1.9642864;
 52.277424, -1.9642864;
 52.777527, -1.9642864;
 52.877548, -1.9642837;
 53.077595, -1.9642864;
 53.277637, -1.9642864;
 53.47768, -1.9642864;
 53.938641, -1.9915627;
 54.645813, -2.2413766;
 55.395336, -2.2146218;
 56.145184, -2.1994061;
 56.894428, -2.2330263;
 57.639313, -2.3204768;
 58.389305, -2.3239841;
 59.165619, -2.1381168;
 59.561054, -2.1989558;
 59.659912, -2.2141628;
 59.857628, -2.2445796;
 60.451859, -2.3236582;
 60.551853, -2.3260124;
 60.751839, -2.330718;
 60.851833, -2.3330696;
 61.151817, -2.3401268;
 61.251812, -2.3424811;
 61.451797, -2.3471839;
 61.551788, -2.3495383;
 61.751778, -2.354244;
 62.051758, -2.3613038;
 62.251747, -2.3660069;
 62.351742, -2.368361;
 62.551723, -2.3730667;
 62.951706, -2.3824754;
 63.051701, -2.3848295;
 63.251686, -2.3895354;
 63.616417, -2.3955798;
 64.363525, -2.4613771;
 65.108925, -2.5443006;
 65.858627, -2.523145;
 66.603233, -2.4333777;
 67.352951, -2.4128249;
 68.102837, -2.3995268;
 68.707939, -2.3995872;
 69.107208, -2.3785682;
 69.207153, -2.3745735;
 69.506981, -2.3625791;
 69.60215, -2.3588681;
 69.906746, -2.34659;
 70.006683, -2.3425901;
 70.106628, -2.3385928;
 70.206566, -2.3345954]
