[0, 0;
 0.0099999998, 0;
 0.75982493, 0.016203828;
 1.5096213, 0.033682436;
 2.2594647, 0.049000815;
 2.9426599, -0.17857215;
 3.2426751, -0.17857215;
 3.5426903, -0.17857215;
 3.7427003, -0.17857215;
 3.8427055, -0.17857215;
 4.0427155, -0.17857215;
 4.2427254, -0.17857215;
 4.6427464, -0.17857487;
 4.7427511, -0.17857215;
 4.8427558, -0.17857215;
 4.9427605, -0.17857215;
 5.0427661, -0.17857215;
 5.2427764, -0.17857215;
 5.5427914, -0.17857215;
 5.8428063, -0.17857215;
 6.0428166, -0.17857215;
 6.5428424, -0.17857215;
 6.6428466, -0.17857215;
 6.7428517, -0.17857215;
 6.8428574, -0.17857215;
 7.0428672, -0.17857215;
 7.2428765, -0.17857215;
 7.5428915, -0.17857215;
 7.842907, -0.17857215;
 8.0428658, -0.17771384;
 8.4400368, -0.13005465;
 8.737915, -0.094310932;
 9.1350861, -0.046649013;
 9.3336706, -0.022818055;
 9.5322561, 0.0010129043;
 9.6315489, 0.012928384;
 9.7308416, 0.024843864;
 9.9298544, 0.044386014;
 10.228915, 0.068312339;
 10.527975, 0.092238665;
 10.727348, 0.10818683;
 11.425154, 0.16401219;
 11.624583, 0.17857072;
 11.924598, 0.17857072;
 12.124608, 0.17857072;
 12.424623, 0.17857072;
 12.624633, 0.17857072;
 12.824643, 0.17857072;
 12.924648, 0.17857072;
 13.124659, 0.17857072;
 13.324668, 0.17857072;
 13.524677, 0.17857072;
 13.724689, 0.17857072;
 13.824694, 0.17857072;
 14.024703, 0.17857072;
 14.224713, 0.17857072;
 14.533877, 0.11541747;
 15.024754, 0.17857072;
 15.124759, 0.17857072;
 15.424775, 0.17856799;
 15.724791, 0.17857072;
 16.224815, 0.17857072;
 16.52483, 0.17857072;
 16.92485, 0.17857072;
 17.023678, 0.19045077;
 17.527233, 0.25553328;
 18.276867, 0.27898848;
 19.026573, 0.29997036;
 19.475599, 0.2993958;
 19.776304, 0.32006261]
