[0, 0;
 0.80980814, 1.1862667;
 1.5369177, 1.370146;
 2.1581848, 1.7902973;
 3.2982926, 2.3160164;
 4.2795506, 3.4934957;
 4.9896717, 3.2521913;
 5.7029872, 3.0204997;
 6.4070978, 2.762182;
 7.0801001, 2.4311717;
 7.598659, 1.8893262;
 8.2874012, 1.5924525;
 9.0027208, 1.3670237;
 9.7075272, 1.1106108;
 10.414547, 0.86036444;
 11.049953, 0.46191984;
 11.750816, 0.19491673;
 12.421695, -0.14037725;
 13.106384, -0.44648135;
 13.812865, -0.69824493;
 14.468719, -1.0620528;
 15.093275, -1.3362238;
 15.862376, -1.6002045;
 16.552032, -1.8949502;
 17.228737, -2.2183266;
 17.957325, -2.3962541;
 18.659826, -2.658917;
 19.34594, -2.9618182;
 20.04789, -3.2259531;
 20.770334, -3.4273832;
 21.861874, -3.3545175;
 22.112244, -3.4350538;
 22.553097, -3.6455667;
 23.276148, -3.8448052;
 23.966024, -4.1390338;
 24.555595, -4.6026144;
 25.560993, -5.4879718;
 26.268778, -5.7360477;
 26.991182, -5.9376221;
 27.711384, -6.1469331;
 28.384056, -6.4786148;
 29.106438, -6.6802678;
 29.787062, -6.9953089;
 30.46225, -7.3218355;
 31.398237, -8.4025583;
 32.131744, -8.5589705;
 32.865292, -8.7152061;
 33.598862, -8.8713217;
 34.323864, -9.0633402;
 34.476822, -9.2729301;
 34.777554, -9.5729456;
 35.440014, -9.9878759;
 35.827206, -10.214708;
 36.113281, -10.306251;
 36.494717, -10.428309;
 36.779839, -10.522739;
 36.969509, -10.586933;
 37.064346, -10.619034;
 37.159184, -10.651132;
 37.538528, -10.779524;
 37.728203, -10.843725;
 37.82304, -10.875823;
 38.266144, -10.805041;
 39.005627, -10.930208;
 39.747391, -11.041052;
 40.490208, -11.144617;
 41.233761, -11.242755;
 41.923061, -11.538335;
 42.663933, -11.654985;
 43.413357, -11.684408;
 44.158501, -11.769615;
 44.901642, -11.870821;
 45.446777, -11.971401;
 45.644993, -11.970465;
 46.047222, -11.964287;
 46.347588, -11.964287;
 46.547832, -11.964287;
 46.647949, -11.964287;
 46.848194, -11.964287;
 47.048435, -11.964287;
 47.348263, -11.969654;
 48.035515, -12.107103;
 48.133682, -12.126739;
 48.231861, -12.146373;
 48.33004, -12.166008;
 48.52639, -12.205277;
 48.820923, -12.264185;
 49.214382, -12.338588;
 49.609833, -12.401859;
 49.906422, -12.449314;
 50.203014, -12.496769;
 50.7962, -12.591679;
 51.091404, -12.646853;
 51.582283, -12.745029;
 51.778641, -12.7843;
 52.269527, -12.882479;
 52.465878, -12.921748;
 52.564056, -12.941383;
 52.95676, -13.019925;
 53.643997, -13.157374;
 53.840355, -13.196641;
 53.938522, -13.216276;
 54.036701, -13.235916;
 54.429417, -13.314455;
 54.625763, -13.353727;
 55.018475, -13.432267;
 55.116653, -13.451904;
 55.313004, -13.491174;
 55.411182, -13.510809;
 55.80389, -13.589351;
 56.00024, -13.628623;
 56.196602, -13.667895;
 56.492825, -13.717423;
 56.591679, -13.733241;
 56.888271, -13.780699;
 56.987133, -13.796514;
 57.184864, -13.828151;
 57.778046, -13.92306;
 58.362915, -14.055902;
 58.941391, -14.217874;
 59.476719, -14.102564;
 60.195011, -14.318337;
 60.92844, -14.47512;
 61.87244, -14.863879;
 61.971306, -14.879697;
 62.070168, -14.895511;
 62.36676, -14.942968;
 62.856186, -15.029406]
