[0, 0;
 0.0099999998, 0;
 0.75032717, 0.12006524;
 1.4976397, 0.056630619;
 2.2371211, -0.068538494;
 2.7284298, -0.18569474;
 2.9823847, -0.15269357;
 3.7302692, -0.20898443;
 4.4683905, -0.34194052;
 4.8079062, -0.4827643;
 5.4031916, -0.55817813;
 5.9327788, -0.6276533;
 6.2989755, -0.64775538;
 6.5975709, -0.6776163;
 6.995697, -0.71742815;
 7.0952287, -0.72738177;
 7.4933558, -0.7671963;
 7.6924176, -0.78710085;
 8.0907745, -0.823632;
 8.2906704, -0.83162928;
 8.4905663, -0.83962375;
 8.6904631, -0.84762102;
 9.1902037, -0.86761004;
 9.2901516, -0.8716073;
 9.5899963, -0.88360178;
 9.8885651, -0.90628564;
 10.182821, -0.96513551;
 10.280908, -0.98475397;
 10.477078, -1.0239854;
 10.575164, -1.0436038;
 10.771336, -1.0828407;
 10.967506, -1.1220748;
 11.163678, -1.161309;
 11.359849, -1.2005432;
 11.654997, -1.2519135;
 11.954842, -1.263908;
 12.654478, -1.2918916;
 13.054271, -1.307886;
 13.453343, -1.3311039;
 13.749657, -1.3785151;
 14.105445, -1.5348845;
 14.737375, -1.5365499;
 15.228505, -1.5792063;
 15.529568, -1.6484377;
 15.728252, -1.6718136;
 15.926938, -1.6951869;
 16.026281, -1.7068762;
 16.125626, -1.71856;
 16.224968, -1.7302467;
 16.423655, -1.7536225;
 16.721682, -1.7886851;
 16.821026, -1.8003744;
 17.019711, -1.8237476;
 17.516426, -1.8821833;
 17.798239, -2.0002182;
 18.211826, -1.9639976;
 18.607296, -2.0247495;
 18.903891, -2.0703785;
 19.4513, -2.5271707;
 20.200838, -2.553488;
 20.950336, -2.580905;
 21.699203, -2.6221087;
 22.15358, -2.6450028;
 22.550365, -2.6785722;
 23.050508, -2.6785722;
 23.250565, -2.6785722;
 23.550648, -2.6785722;
 23.946259, -2.7368896;
 24.69516, -2.7774711;
 25.444033, -2.8185818;
 26.193399, -2.8493779;
 26.942326, -2.889483;
 27.692049, -2.9098146;
 28.242216, -2.8890672;
 28.540165, -2.9248219;
 28.738796, -2.9486582;
 29.136057, -2.9963255;
 29.334684, -3.0201647;
 29.633844, -3.0357151;
 29.733871, -3.0357151;
 30.133984, -3.0357151;
 30.434065, -3.0357151;
 30.834177, -3.0357151;
 31.13426, -3.0357151;
 31.734428, -3.0357151;
 32.186104, -3.1293421;
 32.935059, -3.1688929;
 33.684513, -3.1974492;
 34.43346, -3.2372048;
 35.182518, -3.2748067;
 35.932266, -3.2941859;
 36.681065, -3.3365929;
 37.42997, -3.377126;
 38.178562, -3.4230747;
 38.927528, -3.4624076;
 39.676716, -3.4973078;
 40.425594, -3.5382805;
 41.174397, -3.5806513;
 41.923298, -3.6212158;
 42.304985, -3.6343992;
 42.504406, -3.6503527;
 42.671986, -3.6655817;
 43.20237, -3.7061889;
 43.501499, -3.7301209;
 43.900818, -3.7500007;
 44.400951, -3.7500007;
 44.500984, -3.7500007;
 44.601009, -3.7500007;
 44.918583, -3.7889249;
 45.667267, -3.8333275;
 46.09045, -3.8609486;
 46.416077, -3.8755839;
 47.164787, -3.9195366;
 47.913544, -3.9627311;
 48.662998, -3.9913452;
 49.166935, -4.1071439;
 49.266964, -4.1071439;
 49.967163, -4.1071439;
 50.155766, -4.1305881;
 50.904747, -4.1696725;
 51.652767, -4.2241497;
 52.401871, -4.2608471;
 52.761646, -4.2599688;
 52.96027, -4.2838049;
 53.258221, -4.3195596;
 53.456848, -4.3433933;
 53.899921, -4.3367543;
 54.649147, -4.3708344;
 55.397831, -4.4152484;
 56.05035, -4.4642863;
 56.450459, -4.4642863;
 56.650524, -4.4642892;
 56.895557, -4.4877362;
 57.644947, -4.5179911;
 58.393158, -4.5697908;
 59.142925, -4.5510621;
 59.891869, -4.5908785;
 60.641045, -4.6260595;
 61.389996, -4.66574;
 62.137589, -4.7257895;
 62.886974, -4.7561679;
 63.228226, -4.8214293;
 63.8284, -4.8214293;
 64.376488, -4.8311272;
 64.828674, -4.8214293;
 65.425697, -4.8609715;
 65.870316, -4.9524817;
 66.117111, -4.9715948;
 66.618599, -5.0032034;
 67.106491, -5.1128316;
 67.206444, -5.1168284;
 67.756393, -5.1237769;
 68.506393, -5.1240005;
 69.256355, -5.1315784;
 70.00631, -5.139679;
 70.206047, -5.1785722]
