[0, 0;
 0.0099999998, 0;
 0.7599631, 0.0074378364;
 1.509954, 0.0037345812;
 2.259618, -0.01871359;
 2.8203595, -0.090419941;
 3.3788173, -0.17857215;
 3.4788527, -0.17857215;
 3.6789227, -0.17857215;
 3.979028, -0.17857215;
 4.1790981, -0.17857215;
 4.4996982, -0.15265375;
 4.7793093, -0.17857215;
 4.8793445, -0.17857215;
 5.0794148, -0.17857215;
 5.4795551, -0.17857215;
 5.679625, -0.17857215;
 5.999661, -0.15699106;
 6.4551177, -0.12767863;
 6.7496514, -0.15318243;
 6.9800816, -0.17857215;
 7.3802228, -0.17857215;
 7.6803279, -0.17857215;
 7.7803626, -0.17857215;
 7.9804335, -0.17857215;
 8.3805733, -0.17857215;
 8.4806089, -0.17857215;
 8.5806437, -0.17857215;
 9.0808201, -0.17857215;
 9.6810303, -0.17857215;
 9.8811007, -0.17857215;
 10.497696, -0.099086955;
 11.247694, -0.10064192;
 11.997629, -0.11051083;
 12.170747, -0.065850563;
 12.268839, -0.046232123;
 12.563117, 0.012623209;
 12.857395, 0.071475811;
 13.494049, -0.040045042;
 14.24399, -0.049461327;
 14.993979, -0.053448193;
 15.743732, -0.034209326;
 16.493721, -0.038507681;
 17.243025, -0.0062161908;
 17.992922, -0.01869284;
 18.742916, -0.015744455;
 19.492887, -0.022246279;
 19.649786, 0.0052553928;
 20.24939, 0.17857072;
 20.833, 0.18061431;
 20.965393, 0.16495167;
 21.71534, 0.15602814;
 22.465267, 0.14562443;
 23.215223, 0.13751222;
 23.95768, 0.031411454;
 24.707676, 0.029064968;
 25.457424, 0.0096587874;
 26.206812, -0.02064814;
 26.956045, -0.054567397;
 27.706022, -0.06042492;
 28.456018, -0.062804677;
 28.928305, -0.17857215;
 29.197058, -0.17839712;
 29.528515, -0.17857215;
 30.228764, -0.17857215;
 30.328798, -0.17857215;
 30.428833, -0.17857215;
 31.029043, -0.17857215;
 31.629257, -0.17857215;
 31.829325, -0.17857215;
 31.929359, -0.17857215;
 32.029396, -0.17857215;
 32.429535, -0.17857215;
 32.629604, -0.17857215;
 32.729641, -0.17857215;
 33.12978, -0.17857215;
 33.529919, -0.17857215;
 33.830029, -0.17857215;
 34.429417, 0.015956581;
 35.178802, -0.014397737;
 35.928768, -0.0073034707;
 36.678699, -0.017573377;
 37.428539, -0.033140395;
 38.178455, -0.044262119;
 38.928337, -0.057640538;
 39.678238, -0.069885425;
 40.426678, -0.11822234;
 40.932522, -0.17857215;
 41.032558, -0.17857215;
 41.332664, -0.17857215;
 41.832836, -0.17857215;
 42.132946, -0.17857215;
 42.433048, -0.17857215;
 42.533085, -0.17857215;
 42.833187, -0.17857215;
 43.033264, -0.17857215;
 43.424286, -0.21322259;
 44.17411, -0.22949021;
 44.63382, -0.17857215;
 44.733856, -0.17857215;
 45.334064, -0.17857215;
 46.034313, -0.17857215;
 46.634521, -0.17857215;
 47.172314, -0.23821226;
 47.922306, -0.23507716;
 48.335121, -0.17857215;
 48.435158, -0.17857215;
 48.535191, -0.17857215;
 48.835297, -0.17857215;
 49.422054, -0.21316528;
 49.935684, -0.17857215;
 50.035717, -0.17857215;
 50.435856, -0.17857215;
 50.835999, -0.17857215;
 51.03606, -0.17857215;
 51.136105, -0.17857215;
 51.236137, -0.17857487;
 51.336174, -0.17857215;
 51.671673, -0.18240269;
 51.836346, -0.17857215;
 52.036423, -0.17857215;
 52.136456, -0.17857215;
 52.536594, -0.17857215;
 52.836708, -0.17857487;
 53.036774, -0.17857215;
 52.936733, -0.17856942;
 53.170364, -0.1241641;
 53.919533, -0.15945998;
 54.5373, -0.17856942;
 54.837402, -0.17857487;
 55.037472, -0.17857215;
 55.637684, -0.17857215;
 55.73772, -0.17857215;
 56.437969, -0.17857487;
 56.9179, -0.11871202;
 57.667599, -0.097395614;
 58.41721, -0.07325013;
 59.167046, -0.05752416;
 59.916679, -0.080952026;
 60.664631, -0.025552049;
 61.414581, -0.016920675;
 62.164394, -0.00014325604;
 62.90707, 0.10440727;
 63.656406, 0.072818466;
 64.406296, 0.085887991;
 64.970551, 0.078745537;
 65.155663, 0.11674874;
 65.905624, 0.12444576;
 66.655571, 0.13363186;
 67.404556, 0.17264806;
 68.154549, 0.17649023;
 68.524414, 0.16052447;
 68.624138, 0.16849992;
 68.904381, 0.19227022;
 69.223946, 0.17857072;
 69.652969, 0.23821107;
 70.402893, 0.24895233]
