[0, 0;
 0.0099999998, 0;
 0.75996757, -0.0069751199;
 1.5097785, -0.02381558;
 2.2597702, -0.027339565;
 3.0097535, -0.022337213;
 3.7597294, -0.028361348;
 4.509726, -0.026095357;
 5.2593699, -0.0029907227;
 6.0036516, 0.08944796;
 6.7536354, 0.084547468;
 7.5036016, 0.077446327;
 8.2535877, 0.082010888;
 8.9927683, 0.20894623;
 9.7427654, 0.20689768;
 10.492723, 0.19886458;
 11.242357, 0.22226824;
 11.979712, 0.35941571;
 12.377853, 0.36125112;
 12.729597, 0.34634075;
 13.479563, 0.33914995;
 13.932077, 0.3497934;
 14.22812, 0.29264411;
 14.977309, 0.32749981;
 15.727205, 0.31501418;
 16.47716, 0.30669296;
 17.227077, 0.29561543;
 17.97373, 0.22483663;
 18.723631, 0.21266387;
 19.112228, 0.17857072;
 19.212364, 0.17857072;
 19.473627, 0.21058582;
 19.813173, 0.17857072;
 20.013443, 0.17857072;
 20.222492, 0.16933356;
 20.938251, -0.054691732]
