[0, 0;
 0.0099999998, 0;
 0.75827885, -0.05078239;
 1.5081117, -0.034947127;
 2.2579594, -0.01982902;
 2.7233407, -0.056752514;
 3.0079393, -0.014348151;
 3.2213287, -0.0098998547;
 3.7579274, -0.010132134;
 4.5065489, -0.055582732;
 5.255168, -0.10107183;
 6.005105, -0.091359407;
 6.6170502, -0.10827;
 6.755034, -0.081030942;
 7.5049481, -0.069691435;
 8.2540569, -0.033147693;
 9.0039148, -0.018538965;
 9.7530966, 0.016493035;
 10.198484, 0.023887465;
 10.503081, 0.021340871;
 11.252412, -0.010349127;
 12.002337, 0.00024351571;
 12.752292, 0.0085182739;
 13.502214, 0.019306108;
 14.252143, 0.029690169;
 15.002112, 0.036468014;
 15.592705, 0.0012853827;
 16.175869, -0.034687214;
 16.726364, -0.032719918;
 17.250036, -0.0034724073;
 17.994766, -0.092221901;
 18.744658, -0.079505444;
 19.494518, -0.065063067;
 20.244396, -0.051551681;
 20.993994, -0.026960691;
 21.74374, -0.046432421;
 22.492502, -0.003349632;
 23.242302, -0.020646989;
 23.992083, -0.0024827197;
 24.741949, 0.011692484;
 25.491854, 0.023637585;
 26.241812, 0.031543687;
 26.990501, 0.075872101;
 27.740421, 0.086879328;
 28.48551, 0.0011805445;
 29.235226, 0.021834243;
 29.984959, 0.041878119;
 30.448313, 0.011012861;
 30.733742, -0.00082488358;
 31.483437, 0.020570494;
 32.233154, 0.041191533;
 32.981651, -0.0062840804;
 33.729488, -0.063223869;
 34.470833, -0.1768263]
